IdFanModel,Model,AreaBocca,CodVentRif,DG,ICur,Ibin,Density,MinRound,MaxRound,PressMin,PressMax,XCapMin,YCapMin,CapMin,XPressMin,YPressMin,XCapMax,YCapMax,CapMax,XPressMax,YPressMax
1,"VKA 250",0.1,145,250,2,1,1.2,2000,4400,0,3000,1275,1170,0,1275,1170,7410,1170,8000,1245,7230
2,"VKA 500",0.407044,149,500,2,1,1.2,800,2200,0,3000,1275,1170,0,1275,1170,7410,1170,8000,1245,7230
3,"TLI 7-7",0.03999999910593033,215,200,2,1,1.2,800,3800,0,2700,1080,1310,0,1080,1310,7260,1260,9000,1130,7800
4,"TLI 9-7",0.05999999865889549,216,250,2,1,1.2,600,2800,0,3000,1070,1310,0,1070,1310,7180,1300,11000,1060,7770
5,"TLI 9-9",0.07999999821186066,217,250,2,1,1.2,600,3000,0,2800,1100,1320,0,1100,1320,7270,1280,13000,1130,7810
6,"TLI 10-8",0.07999999821186066,218,280,2,1,1.2,600,2800,0,2800,1060,1290,0,1060,1290,7170,1290,16000,1050,6950
7,"TLI 10-10",0.1000000014901161,219,280,2,1,1.2,600,2600,0,2500,1110,1290,0,1110,1290,7280,1270,18000,1120,6700
8,"TLI 12-9",0.1099999994039536,220,325,2,1,1.2,500,2300,0,2500,1050,1290,0,1050,1290,7150,1290,20000,1040,6680
9,"TLI 12-12",0.1299999952316284,221,325,2,1,1.2,500,2400,0,2400,1110,1260,0,1110,1260,7270,1270,25000,1080,7040
10,"TLI 15-11",0.1500000059604645,222,400,2,1,1.2,400,1800,0,2500,1120,1280,0,1120,1280,7220,1280,35000,1080,6660
11,"TLI 15-15",0.1899999976158142,223,400,2,1,1.2,400,1800,0,2400,1140,1300,0,1140,1300,7300,1270,40000,1150,6880
12,"TLI 18-13",0.2000000029802322,224,450,2,1,1.2,300,1600,0,2500,1050,1290,0,1050,1290,7160,1280,45000,1050,6690
13,"TLI 18-18",0.2700000107288361,225,450,2,1,1.2,350,1600,0,2500,1080,1290,0,1080,1290,7250,1270,60000,1100,6710
14,"THLZ 180",0.05000000074505806,122,180,2,1,1.2,2334,7400,100,4000,2355,1695,500,2355,1695,5820,1650,5000,2355,7380
15,"THLZ 200",0.05999999865889549,123,200,2,1,1.2,2053,6400,100,4000,1785,1650,500,1785,1650,5295,1620,5000,1785,7410
16,"THLZ 225",0.07999999821186066,124,225,2,1,1.2,1783,6000,100,4000,2520,1710,1000,2520,1710,6030,1680,10000,2520,7440
17,"THLZ 250",0.1000000014901161,125,250,2,1,1.2,1604,5700,100,4000,2070,1670,1000,2070,1670,5730,1660,10000,2070,7410
18,"THLZ 280",0.1299999952316284,126,280,2,1,1.2,1364,4800,100,4000,1780,1680,1000,1780,1680,5290,1640,10000,1780,7400
19,"THLZ 315",0.1599999964237213,227,0.2000000029802322,2,1,1.2,1213,3800,100,4000,2070,1670,1500,2070,1670,6000,1630,20000,2070,7400
20,"THLZ 355",0.2099999934434891,228,355,2,1,1.2,1076,3400,100,4000,1650,1610,1500,1650,1610,5670,1600,20000,1650,7440
21,"THLZ 400",0.2599999904632568,230,400,2,1,1.2,955,3800,100,4000,1690,1710,2000,1690,1710,5900,1690,30000,1690,7430
22,"THLZ 450",0.3199999928474426,130,450,2,1,1.2,850,3400,100,4000,2030,1720,3000,2030,1720,5530,1680,30000,2030,7460
23,"THLZ 500",0.4000000059604645,131,500,2,1,1.2,764,3000,100,4000,1840,1610,3500,1840,1610,5970,1600,50000,1840,7430
24,"THLZ 560",0.5099999904632568,132,560,2,1,1.2,682,2700,100,4000,2100,1600,5000,2100,1600,5660,1590,50000,2100,7420
25,"THLZ 630",0.6399999856948853,133,630,2,1,1.2,606,2400,100,4000,1710,1660,5000,1710,1660,5270,1650,50000,1710,7450
26,"THLZ 710",0.800000011920929,134,710,2,1,1.2,538,2150,100,4000,2380,1600,10000,2380,1600,5940,1560,100000,2380,7420
27,"THLZ 800",1.009999990463257,135,800,2,1,1.2,477,1700,100,4000,2010,1590,10000,2010,1590,5580,1580,100000,2010,7420
28,"THLZ 900",1.269999980926514,136,900,2,1,1.2,425,1700,100,4000,1700,1570,10000,1700,1570,5880,1580,150000,1700,7390
29,"THLZ 1000",1.600000023841858,137,1000,2,1,1.2,382,1340,100,4000,1980,1600,15000,1980,1600,5990,1590,200000,1980,7410
30,"THLZ 1120",1.600000023841858,201,1120,2,1,1.2,341,1350,100,4000,1240,1690,15000,1240,1690,5190,1690,200000,1240,7440
31,"THLZ 1250",1.600000023841858,202,1250,2,1,1.2,306,1250,100,4000,1690,1580,20000,1690,1580,5860,1570,300000,1690,7420
32,"TLZ 160",0.042025,101,160,2,1,1.2,1200,4100,90,2800,1320,1740,100,1320,1740,6105,1695,7000,1350,7215
33,"TLZ 180",0.052441,102,180,2,1,1.2,1000,3600,90,2800,1320,1755,380,1320,1755,6075,1695,8500,1335,7185
34,"TLZ 200",0.065,103,200,2,1,1.2,900,3650,90,2800,1380,1710,500,1380,1710,6045,1710,10500,1380,7185
35,"TLZ 225",0.082,104,225,2,1,1.2,800,3200,90,2800,1155,1575,600,1155,1575,5895,1635,13000,1035,7050
36,"TLZ 250",0.103684,105,250,2,1,1.2,700,2850,90,2800,870,1770,780,870,1770,5670,1695,17000,930,7230
37,"TLZ 280",0.130321,106,280,2,1,1.2,650,2500,90,2800,1215,1740,900,1215,1740,5970,1740,21000,1170,7200
38,"TLZ 315",0.163,107,315,2,1,1.2,550,2400,100,2800,1800,1860,2000,1800,1860,5320,1860,20000,1800,7120
39,"TLZ 355",0.205209,108,355,2,1,1.2,500,2000,90,2800,1035,1650,1000,1035,1650,5835,1680,30000,960,7125
40,"TLZ 400",0.257049,229,400,2,1,1.2,440,1750,90,2800,1030,1740,2000,1030,1740,5190,1710,30000,1030,7230
41,"TLZ 450",0.323761,110,450,2,1,1.2,440,1750,90,2800,1290,1740,3000,1290,1740,5610,1725,50000,1290,7200
42,"TLZ 500",0.407,111,500,2,1,1.2,390,1550,90,2800,1005,1725,3000,1005,1725,5310,1725,50000,975,7200
43,"TLZ 560",0.511,112,560,2,1,1.2,350,1380,90,2800,1440,1755,5000,1440,1755,5490,1725,70000,1440,7230
44,"TLZ 630",0.641601,226,630,2,1,1.2,270,950,90,2800,900,1755,5000,900,1755,5550,1695,100000,930,7245
45,"TLZ 710",0.806,114,710,2,1,1.2,240,1000,100,2800,1740,1940,10000,1740,1940,5290,1940,100000,1740,7180
46,"TLZ 800",1.014049,115,800,2,1,1.2,210,750,90,2800,1500,1650,10000,1500,1650,5670,1650,150000,1500,7125
47,"TLZ 900",1.2769,116,900,2,1,1.2,200,675,90,2800,1180,1720,10000,1180,1720,5810,1710,200000,1180,7200
48,"TLZ 1000",1.605289,117,1000,2,1,1.2,170,600,90,2800,1390,1720,15000,1390,1720,5280,1710,200000,1390,7210
49,"TZAF 355",0.2000000029802322,204,365,2,1,1.2,1300,4000,0,4000,735,900,0,735,900,7620,900,25000,735,8085
50,"TZAF 400",0.25,205,408,2,1,1.2,1100,3800,0,4500,780,930,0,780,930,7500,930,35000,770,8130
51,"TZAF 450",0.3100000023841858,206,458,2,1,1.2,900,3400,0,4500,530,1010,0,530,1010,7520,1020,40000,530,8220
52,"TZAF 500",0.4000000059604645,207,510,2,1,1.2,800,2900,0,4000,1030,890,0,1030,890,7570,870,45000,1030,8220
53,"TZAF 560",0.5099999904632568,208,572,2,1,1.2,700,2700,0,4500,750,1110,0,750,1110,7185,1095,60000,750,8115
54,"TZAF 630",0.6399999856948853,209,640,2,1,1.2,600,2400,0,4500,860,1160,0,860,1160,7480,1110,80000,870,8170
55,"TZAF 710",0.8100000023841858,210,722,2,1,1.2,500,2200,0,4500,700,1170,0,700,1170,7130,1150,100000,700,8180
56,"TZAF 800",1.01,203,812,2,1,1.2,500,1900,0,4500,1320,1065,0,1320,1065,7560,1095,120000,1290,8060
57,"TZAF 900",1.279999971389771,211,816,2,1,1.2,400,1700,0,4500,690,1100,0,690,1100,7110,1080,150000,680,8110
58,"TZAF 1000",1.610000014305115,212,1016,2,1,1.2,400,1450,0,4000,980,1080,0,980,1080,7240,1080,180000,980,8090
59,"TZAF 1120",1.580000042915344,213,1136,2,1,1.2,350,1250,0,3500,710,1080,0,710,1080,7130,1070,240000,710,8090
60,"TZAF 1250",1.980000019073486,214,1266,2,1,1.2,300,1150,0,4000,1020,1140,0,1020,1140,7510,1100,300000,1070,8150
61,"AT 7-7",0.043,251,200,2,1,1.2,600,3000,30,1600,2160,2280,200,2160,2280,7830,2280,6000,2160,12390
62,"AT 9-7",0.05,252,253,2,1,1.2,600,2800,60,2500,1605,1680,300,1605,1680,7575,1680,8000,1605,11805
63,"AT 9-9",0.064,253,253,2,1,1.2,550,2100,50,1800,1725,1680,400,1725,1680,7380,1680,10000,1725,11805
64,"AT 10-8",0.066,254,283,2,1,1.2,500,2800,60,3000,1710,1695,400,1710,1695,7530,1695,14000,1710,11805
65,"AT 10-10",0.082,255,283,2,1,1.2,600,2200,90,2200,1755,1680,800,1755,1680,7500,1680,14000,1755,11805
66,"AT 12-9",0.091,256,333,2,1,1.2,500,2200,80,3000,2280,1680,600,2280,1680,8220,1680,20000,2280,11805
67,"AT 12-12",0.116,257,333,2,1,1.2,500,1700,80,2000,2880,1890,1000,2880,1890,8715,1890,18000,2880,12000
68,"AT 15-11",0.128,258,393,2,1,1.2,450,2200,100,4000,2700,1680,2000,2700,1680,7770,1680,30000,2700,11805
69,"AT 15-15",0.161,259,393,2,1,1.2,400,1300,80,1500,3015,2280,1500,3015,2280,8430,2280,20000,3015,12405
70,"AT 18-13",0.178,260,470,2,1,1.2,300,1300,60,2000,2205,2265,2000,2205,2265,7620,2265,30000,2205,12390
71,"AT 18-18",0.231,261,470,2,1,1.2,300,1200,60,2000,2145,1680,2000,2145,1680,7635,1680,40000,2145,11805
72,"AT 20-15",0.261,262,544,2,1,1.2,250,1400,50,3000,2055,1695,2000,2055,1695,7905,1695,50000,2055,11820
73,"AT 20-20",0.328,263,544,2,1,1.2,250,1400,50,2500,1860,1695,2000,1860,1695,7665,1695,50000,1860,11820
74,"AT 22-15",0.295,264,592,2,1,1.2,250,1400,50,3000,2205,1695,2000,2205,1695,7665,1695,50000,2205,11820
75,"AT 22-22",0.397,265,592,2,1,1.2,250,1300,50,2600,2250,1695,3000,2250,1695,7860,1695,70000,2250,11820
76,"AT 25-20",0.433,266,668,2,1,1.2,200,1100,40,2600,1845,1695,2000,1845,1695,7785,1695,80000,1845,11805
77,"AT 25-25",0.518,267,668,2,1,1.2,200,1000,50,2500,2085,1695,3000,2085,1695,7845,1695,90000,2085,11820
78,"AT 28-20",0.485,268,732,2,1,1.2,200,900,60,2500,2055,2280,4000,2055,2280,7845,2280,90000,2055,12390
79,"AT 28-28",0.625,269,732,2,1,1.2,200,900,60,2500,1935,2280,5000,1935,2280,7440,2280,100000,1935,12390
80,"AT 30-20",0.525,270,785,2,1,1.2,150,900,40,2500,1950,1695,3000,1950,1695,7785,1695,100000,1950,11805
81,"AT 30-28",0.675,271,785,2,1,1.2,150,900,40,3000,1725,1695,3000,1725,1695,7320,1695,100000,1725,11805
82,"ADH 400",0.257,129,400,2,1,1.2,400,2000,80,3500,2835,2220,2000,2835,2220,8235,2220,50000,2820,12135
83,"ADH 160",0.042,109,160,2,1,1.2,1200,4600,80,2200,2970,3180,300,2970,3180,8340,3195,5000,2625,12885
84,"ADH 180",0.052,113,180,2,1,1.2,1000,4400,80,2500,2700,3180,300,2700,3180,8400,3180,8000,2715,12870
85,"ADH 200",0.066,118,200,2,1,1.2,800,4200,80,3500,2880,3195,500,2880,3195,8175,3195,10000,2880,12870
86,"ADH 250",0.104,120,250,2,1,1.2,700,3200,100,3500,2295,2220,800,2295,2220,8205,2220,18000,2295,12120
87,"ADH 225",0.083,119,225,2,1,1.2,800,3800,100,3500,2790,3180,700,2790,3180,8415,3180,16000,2790,12855
88,"ADH 280",0.13,121,280,2,1,1.2,600,3000,90,4000,2445,2220,800,2445,2220,7980,2220,20000,2445,12120
89,"ADH 355",0.205,128,355,2,1,1.2,500,2200,100,3500,3045,2220,2000,3045,2220,8235,2220,40000,3045,12120
90,"ADH 450",0.324,138,450,2,1,1.2,350,1600,70,2600,2775,3660,2000,2775,3660,8460,3660,50000,2775,13575
91,"ADH 500",0.407,139,500,2,1,1.2,350,1500,90,2600,2265,3675,3000,2265,3675,7740,3675,70000,2265,13590
92,"ADH 560",0.511,140,560,2,1,1.2,300,1400,80,3000,2430,3675,4000,2430,3675,7950,3675,100000,2430,13590
93,"ADH 630",0.642,141,630,2,1,1.2,250,1200,80,3200,1860,3690,4000,1860,3690,7395,3690,100000,1860,13575
94,"ADH 315",0.163,127,315,2,1,1.2,500,2600,80,3600,2955,2235,1500,2955,2235,8070,2235,30000,2325,12120
95,"ADH 900",1.277,233,900,2,1,1.2,170,750,80,2400,2010,3675,8000,2010,3675,7950,3675,200000,2010,13560
96,"ADH 800",1.014,232,800,2,1,1.2,200,850,80,2500,1860,3675,6000,1860,3675,7590,3675,160000,1860,13575
97,"ADH 710",0.806,231,710,2,1,1.2,250,950,100,2400,2190,3675,6000,2190,3675,7515,3675,100000,2190,13560
98,"ADH 1000",1.605,234,1000,2,1,1.2,160,700,80,2500,1800,3675,10000,1800,3675,7140,3675,200000,1800,13575
99,"RDH 400",0.205,242,400,2,1,1.2,1200,3800,70,4500,2340,2295,2000,2340,2295,7965,2295,35000,2340,12510
100,"RDH 355",0.163,241,355,2,1,1.2,1200,4200,60,4500,1410,2250,1200,1410,2250,7350,2250,25000,1410,12315
101,"RDH 315",0.13,240,315,2,1,1.2,1400,4500,60,4500,2115,2265,1200,2115,2265,7935,2265,20000,2115,12330
102,"RDH 280",0.104,239,280,2,1,1.2,1600,5100,60,4500,2055,180,600,2055,180,8055,180,10000,2055,10215
103,"RDH 500",0.324,244,500,2,1,1.2,900,3000,60,4500,2070,2280,3000,2070,2280,7575,2280,50000,2070,12480
104,"RDH 560",0.407,245,560,2,1,1.2,800,2800,60,4800,1770,2250,3000,1770,2250,7665,2250,70000,1770,12285
105,"RDH 630",0.511,246,630,2,1,1.2,700,2500,60,4500,2025,3915,4000,2025,3915,7890,3915,70000,2025,14160
106,"RDH 710",0.642,247,710,2,1,1.2,700,2200,80,4500,2310,2265,6000,2310,2265,7890,2265,100000,2310,12315
107,"RDH 180",0.052,235,180,2,1,1.2,2500,7500,50,3500,2325,2220,400,2325,2220,8040,2220,5000,2325,12150
108,"RDH 900",1.014,249,900,2,1,1.2,500,1750,70,4500,2145,2265,7000,2145,2265,7980,2265,150000,2145,12285
109,"RDH 450",0.257,243,450,2,1,1.2,1000,3400,60,4500,1800,2265,2000,1800,2265,7350,2265,40000,1800,12285
110,"RDH 250",0.083,238,250,2,1,1.2,1800,6000,60,4500,2670,2265,600,2670,2265,8520,2265,12000,2670,12270
111,"RDH 225",0.066,237,225,2,1,1.2,2000,6500,60,4000,2490,1650,500,2490,1650,8190,1650,10000,2490,11580
112,"RDH 200",0.065,236,200,2,1,1.2,2500,7600,60,4000,2715,2220,500,2715,2220,8475,2220,7000,2715,12135
113,"RDH 800",0.806,248,800,2,1,1.2,600,1800,70,4500,2070,2295,6000,2070,2295,7980,2295,130000,2070,12540
114,"RDH 1000",1.277,250,1000,2,1,1.2,450,1400,60,4500,945,225,8000,945,225,6495,225,150000,945,10245
118,"PFN 250",0,275,250,2,1,1.2,1800,5600,30,3000,0,0,288,0,0,0,0,18000,0,0
